,img,type,label,confidence
255,img_00027,Text,LAMOUR,85.73574829101562
256,img_00027,Text,OREAL PARis,91.06111145019531
257,img_00027,Text,ST L'ORE CONDE,86.8311767578125
258,img_00027,Text,PARIS,82.99763488769531
259,img_00027,Text,Becauseyoufre wortht.,73.09141540527344
260,img_00027,Text,R,88.68777465820312
261,img_00027,Text,L'OREA PARis,90.90535736083984
262,img_00027,Text,UR CON GLAMOE,85.78569793701172
263,img_00027,Text,L'OREAL PARis DUR,86.42505645751953
264,img_00027,Text,NAST L'd ONDE,84.97300720214844
265,img_00027,Text,L'OREAL,93.26087188720703
266,img_00027,Text,UR,95.98902130126953
267,img_00027,Text,OREAL,94.63185119628906
268,img_00027,Text,LAMOUR,85.73574829101562
269,img_00027,Text,PARis,87.49038696289062
270,img_00027,Text,L'ORE,95.9879379272461
271,img_00027,Text,CONDE,83.72447204589844
272,img_00027,Text,ST,80.78111267089844
273,img_00027,Text,PARIS,82.99763488769531
274,img_00027,Text,Becauseyoufre wortht.,73.09141540527344
275,img_00027,Text,L'OREA,94.0019760131836
276,img_00027,Text,R,88.68777465820312
277,img_00027,Text,PARis,87.80874633789062
278,img_00027,Text,UR,98.34252166748047
279,img_00027,Text,CON,81.5638656616211
280,img_00027,Text,GLAMOE,77.4507064819336
281,img_00027,Text,L'OREAL,86.71927642822266
282,img_00027,Text,DUR,93.76649475097656
283,img_00027,Text,PARis,78.78939819335938
284,img_00027,Text,NAST,93.85660552978516
285,img_00027,Text,L'd,76.09214782714844
286,img_00027,Text,ONDE,84.97026824951172
287,img_00027,Text,L'OREAL,93.26087188720703
288,img_00027,Text,UR,95.98902130126953
289,img_00028,Label,Human,98.80098724365234
290,img_00028,Label,People,98.80094909667969
291,img_00028,Label,Person,98.80098724365234
292,img_00028,Label,Coin,97.64302062988281
293,img_00028,Label,Money,97.64302062988281
294,img_00028,Label,Chocolate,94.16939544677734
295,img_00028,Label,Dessert,94.16939544677734
296,img_00028,Label,Food,94.16939544677734
297,img_00028,Label,Cocoa,88.81155395507812
298,img_00028,Label,Fudge,88.81155395507812
299,img_00028,Label,Bean,84.78255462646484
300,img_00028,Label,Flora,84.78255462646484
301,img_00028,Label,Plant,84.78255462646484
302,img_00028,Label,Produce,84.78255462646484
303,img_00028,Label,Vegetable,84.78255462646484
304,img_00028,Text,Colov Por,68.94954681396484
305,img_00028,Text,Por,62.7756462097168
306,img_00028,Text,Colov,75.12345123291016
307,img_00029,Label,Human,99.06987762451172
308,img_00029,Label,People,99.06986236572266
309,img_00029,Label,Person,99.06987762451172
310,img_00029,Label,Blonde,83.11376953125
311,img_00029,Label,Female,83.11376953125
312,img_00029,Label,Girl,83.11376953125
313,img_00029,Label,Woman,83.11376953125
314,img_00029,Celebrity,Sarah Hyland,99.72914123535156
315,img_00030,Label,Human,99.31344604492188
316,img_00030,Label,People,99.31344604492188
317,img_00030,Label,Person,99.31344604492188
318,img_00031,Label,Premiere,99.32329559326172
319,img_00031,Label,Red Carpet,99.32329559326172
320,img_00031,Label,Red Carpet Premiere,99.32329559326172
321,img_00031,Label,Human,99.30638885498047
322,img_00031,Label,People,99.30638885498047
323,img_00031,Label,Person,99.30638885498047
324,img_00031,Label,Clothing,98.38106536865234
325,img_00031,Label,Coat,98.38106536865234
326,img_00031,Label,Overcoat,98.38106536865234
327,img_00031,Label,Suit,98.38106536865234
328,img_00031,Celebrity,Peng Liyuan,99.99998474121094
329,img_00031,Celebrity,Melania Trump,99.96431732177734
330,img_00032,Label,Boot,98.60468292236328
331,img_00032,Label,Clothing,98.60468292236328
332,img_00032,Label,Footwear,98.60468292236328
333,img_00032,Label,Shoe,98.60468292236328
334,img_00032,Label,Heel,92.99748229980469
335,img_00033,Label,Human,99.2191162109375
336,img_00033,Label,People,99.21910095214844
337,img_00033,Label,Person,99.2191162109375
338,img_00033,Label,Clothing,82.81409454345703
339,img_00033,Label,Coat,82.81409454345703
340,img_00033,Label,Overcoat,82.81409454345703
341,img_00033,Label,Suit,82.81409454345703
342,img_00033,Label,Wedding,80.13249969482422
343,img_00033,Label,Tuxedo,78.31838989257812
344,img_00033,Celebrity,Selena Gomez,99.99647521972656
345,img_00033,Text,MUSIE,81.70831298828125
346,img_00033,Text,b,90.35717010498047
347,img_00033,Text,MUSIE,81.70831298828125
348,img_00033,Text,b,90.35717010498047
349,img_00034,Label,Human,99.15386199951172
350,img_00034,Label,People,99.15386199951172
351,img_00034,Label,Person,99.15386199951172
352,img_00034,Label,Blonde,98.9040756225586
353,img_00034,Label,Female,98.9040756225586
354,img_00034,Label,Girl,98.9040756225586
355,img_00034,Label,Woman,98.9040756225586
356,img_00034,Celebrity,Taylor Swift,99.5508804321289
357,img_00035,Label,Human,99.22602844238281
358,img_00035,Label,People,99.22601318359375
359,img_00035,Label,Person,99.22602844238281
360,img_00035,Celebrity,Lars von Trier,99.8966064453125
361,img_00036,Label,Human,99.21484375
362,img_00036,Label,People,99.21482849121094
363,img_00036,Label,Person,99.21484375
364,img_00036,Label,Clothing,89.9894027709961
365,img_00036,Label,Hoodie,89.9894027709961
366,img_00036,Label,Sweater,89.9894027709961
367,img_00036,Label,Sweatshirt,89.9894027709961
368,img_00036,Celebrity,Nadine Beiler,99.48395538330078
369,img_00036,Text,FRIEOS,80.37175750732422
370,img_00036,Text,DO'T LI,75.70939636230469
371,img_00036,Text,FRIEOS,80.37175750732422
372,img_00036,Text,DO'T,75.05464935302734
373,img_00036,Text,LI,76.36414337158203
374,img_00037,Text,T,36.79324722290039
375,img_00037,Text,H,71.4660873413086
376,img_00037,Text,T,36.79324722290039
377,img_00037,Text,H,71.4660873413086
378,img_00038,Label,Human,99.14764404296875
379,img_00038,Label,People,99.14763641357422
380,img_00038,Label,Person,99.14764404296875
381,img_00038,Celebrity,"Jelena Noura ""Gigi"" Hadid",99.99214935302734
382,img_00038,Text,o0,50.48810958862305
